DateTime	Categoria	NavigatedTo
15/12/2023 08:58:36	Apprendimento	epicode
15/12/2023 09:40:59	Apprendimento	epicode
15/12/2023 09:41:02	Apprendimento	epicode
15/12/2023 09:41:06	Apprendimento	epicode
15/12/2023 09:41:21	Apprendimento	epicode
15/12/2023 13:56:09	Apprendimento	epicode
15/12/2023 13:56:11	Apprendimento	epicode
15/12/2023 14:23:00	Apprendimento	epicode
15/12/2023 14:23:03	Apprendimento	epicode
15/12/2023 14:23:32	Apprendimento	epicode
15/12/2023 14:23:48	Apprendimento	epicode
15/12/2023 14:23:51	Apprendimento	epicode
15/12/2023 14:58:05	Apprendimento	epicode
15/12/2023 15:08:15	Apprendimento	epicode
16/12/2023 11:37:49	Apprendimento	epicode
16/12/2023 11:37:52	Apprendimento	epicode
16/12/2023 11:38:08	Apprendimento	epicode
16/12/2023 11:38:13	Apprendimento	epicode
16/12/2023 11:38:16	Apprendimento	epicode
16/12/2023 11:38:23	Apprendimento	epicode
16/12/2023 11:38:26	Apprendimento	epicode
16/12/2023 11:38:31	Apprendimento	epicode
16/12/2023 11:38:33	Apprendimento	epicode
16/12/2023 11:38:37	Apprendimento	epicode
16/12/2023 11:38:41	Apprendimento	epicode
16/12/2023 11:38:50	Apprendimento	epicode
16/12/2023 11:38:51	Apprendimento	epicode
16/12/2023 11:38:56	Apprendimento	epicode
16/12/2023 12:36:48	Apprendimento	epicode
16/12/2023 13:42:51	Apprendimento	epicode
16/12/2023 13:45:16	Apprendimento	epicode
16/12/2023 13:45:19	Apprendimento	epicode
16/12/2023 14:30:54	Apprendimento	epicode
16/12/2023 15:48:26	Apprendimento	epicode
18/12/2023 08:54:13	Apprendimento	epicode
18/12/2023 08:54:15	Apprendimento	epicode
18/12/2023 09:03:49	Apprendimento	epicode
18/12/2023 09:03:52	Apprendimento	epicode
18/12/2023 09:03:56	Apprendimento	epicode
18/12/2023 09:03:58	Apprendimento	epicode
18/12/2023 13:52:14	Apprendimento	epicode
18/12/2023 13:52:17	Apprendimento	epicode
18/12/2023 14:04:49	Apprendimento	epicode
18/12/2023 14:04:52	Apprendimento	epicode
18/12/2023 14:04:56	Apprendimento	epicode
18/12/2023 14:05:06	Apprendimento	epicode
18/12/2023 14:05:14	Apprendimento	epicode
18/12/2023 14:05:19	Apprendimento	epicode
18/12/2023 14:05:23	Apprendimento	epicode
18/12/2023 17:30:16	Apprendimento	epicode
18/12/2023 17:30:21	Apprendimento	epicode
18/12/2023 17:30:27	Apprendimento	epicode
18/12/2023 17:30:29	Apprendimento	epicode
18/12/2023 17:30:36	Apprendimento	epicode
18/12/2023 17:35:56	Apprendimento	epicode
18/12/2023 17:36:17	Apprendimento	epicode
18/12/2023 17:36:19	Apprendimento	epicode
18/12/2023 17:38:15	Apprendimento	epicode
18/12/2023 17:38:20	Apprendimento	epicode
18/12/2023 17:38:25	Apprendimento	epicode
18/12/2023 17:38:28	Apprendimento	epicode
18/12/2023 17:38:30	Apprendimento	epicode
18/12/2023 17:38:33	Apprendimento	epicode
18/12/2023 17:38:38	Apprendimento	epicode
18/12/2023 17:38:41	Apprendimento	epicode
18/12/2023 17:59:42	Apprendimento	epicode
19/12/2023 08:55:52	Apprendimento	epicode
19/12/2023 08:55:56	Apprendimento	epicode
19/12/2023 11:10:00	Apprendimento	epicode
19/12/2023 11:10:02	Apprendimento	epicode
19/12/2023 11:10:07	Apprendimento	epicode
19/12/2023 11:10:08	Apprendimento	epicode
19/12/2023 11:10:10	Apprendimento	epicode
19/12/2023 11:10:12	Apprendimento	epicode
19/12/2023 11:12:18	Apprendimento	epicode
19/12/2023 13:57:02	Apprendimento	epicode
19/12/2023 13:57:13	Apprendimento	epicode
19/12/2023 14:07:52	Apprendimento	epicode
19/12/2023 14:07:54	Apprendimento	epicode
19/12/2023 14:08:08	Apprendimento	epicode
19/12/2023 14:08:13	Apprendimento	epicode
19/12/2023 14:08:16	Apprendimento	epicode
19/12/2023 14:08:54	Apprendimento	epicode
19/12/2023 14:08:58	Apprendimento	epicode
19/12/2023 14:09:14	Apprendimento	epicode
19/12/2023 14:09:50	Apprendimento	epicode
19/12/2023 14:41:39	Apprendimento	epicode
19/12/2023 14:52:07	Apprendimento	epicode
19/12/2023 14:58:21	Apprendimento	epicode
19/12/2023 15:01:49	Apprendimento	epicode
19/12/2023 15:02:02	Apprendimento	epicode
19/12/2023 15:03:42	Apprendimento	epicode
19/12/2023 15:08:41	Apprendimento	epicode
19/12/2023 15:08:57	Apprendimento	epicode
19/12/2023 15:09:02	Apprendimento	epicode
19/12/2023 15:09:04	Apprendimento	epicode
19/12/2023 15:09:06	Apprendimento	epicode
19/12/2023 15:09:12	Apprendimento	epicode
19/12/2023 15:09:19	Apprendimento	epicode
19/12/2023 15:09:23	Apprendimento	epicode
19/12/2023 15:09:32	Apprendimento	epicode
19/12/2023 15:09:37	Apprendimento	epicode
19/12/2023 15:09:42	Apprendimento	epicode
19/12/2023 15:09:44	Apprendimento	epicode
19/12/2023 15:09:45	Apprendimento	epicode
19/12/2023 15:09:50	Apprendimento	epicode
19/12/2023 15:09:52	Apprendimento	epicode
19/12/2023 15:09:55	Apprendimento	epicode
19/12/2023 15:10:00	Apprendimento	epicode
19/12/2023 15:10:05	Apprendimento	epicode
19/12/2023 15:11:02	Apprendimento	epicode
19/12/2023 15:11:06	Apprendimento	epicode
19/12/2023 15:12:14	Apprendimento	epicode
19/12/2023 15:12:15	Apprendimento	epicode
19/12/2023 15:12:25	Apprendimento	epicode
19/12/2023 15:12:27	Apprendimento	epicode
19/12/2023 15:12:32	Apprendimento	epicode
19/12/2023 15:12:35	Apprendimento	epicode
19/12/2023 15:12:37	Apprendimento	epicode
19/12/2023 15:12:40	Apprendimento	epicode
19/12/2023 15:12:44	Apprendimento	epicode
19/12/2023 15:12:49	Apprendimento	epicode
19/12/2023 15:13:02	Apprendimento	epicode
19/12/2023 15:13:15	Apprendimento	epicode
19/12/2023 15:13:25	Apprendimento	epicode
19/12/2023 15:13:54	Apprendimento	epicode
19/12/2023 15:14:11	Apprendimento	epicode
19/12/2023 15:14:12	Apprendimento	epicode
19/12/2023 15:15:32	Apprendimento	epicode
19/12/2023 15:28:29	Apprendimento	epicode
19/12/2023 15:28:44	Apprendimento	epicode
19/12/2023 15:29:15	Apprendimento	epicode
19/12/2023 15:30:17	Apprendimento	epicode
19/12/2023 15:30:24	Apprendimento	epicode
19/12/2023 15:30:32	Apprendimento	epicode
19/12/2023 15:31:02	Apprendimento	epicode
19/12/2023 15:31:15	Apprendimento	epicode
19/12/2023 15:31:20	Apprendimento	epicode
19/12/2023 15:34:03	Apprendimento	epicode
19/12/2023 15:34:05	Apprendimento	epicode
19/12/2023 15:34:09	Apprendimento	epicode
19/12/2023 15:34:15	Apprendimento	epicode
19/12/2023 15:34:18	Apprendimento	epicode
19/12/2023 15:38:47	Apprendimento	epicode
19/12/2023 15:38:50	Apprendimento	epicode
19/12/2023 15:39:48	Apprendimento	epicode
19/12/2023 15:40:31	Apprendimento	epicode
19/12/2023 15:40:35	Apprendimento	epicode
19/12/2023 15:40:40	Apprendimento	epicode
19/12/2023 15:41:44	Apprendimento	epicode
19/12/2023 15:41:54	Apprendimento	epicode
19/12/2023 15:41:57	Apprendimento	epicode
19/12/2023 15:42:35	Apprendimento	epicode
19/12/2023 15:42:39	Apprendimento	epicode
19/12/2023 15:42:47	Apprendimento	epicode
19/12/2023 18:01:03	Apprendimento	epicode
19/12/2023 18:03:03	Apprendimento	epicode
19/12/2023 18:03:06	Apprendimento	epicode
19/12/2023 18:03:15	Apprendimento	epicode
19/12/2023 18:03:16	Apprendimento	epicode
19/12/2023 18:03:25	Apprendimento	epicode
20/12/2023 08:55:47	Apprendimento	epicode
20/12/2023 08:56:14	Apprendimento	epicode
20/12/2023 13:59:51	Apprendimento	epicode
20/12/2023 14:06:44	Apprendimento	epicode
20/12/2023 14:06:46	Apprendimento	epicode
